Country,TotalRevenue,TotalOrders
United Kingdom,77988.4,4423
EIRE,2752.56,76
Germany,2285.34,91
Netherlands,1966.74,23
France,1575.21,87
Australia,721.63,10
Spain,523.6,32
Switzerland,416.73,18
Norway,354.7,11
Belgium,350.44,21
Portugal,314.35,13
Sweden,271.0,7
Japan,263.88,3
Italy,172.42,5
Channel Islands,150.08,7
Austria,113.3,4
Israel,91.8,1
Cyprus,91.75,6
Denmark,88.68,5
Finland,82.44,6
Unspecified,81.39,7
Iceland,68.4,4
Hong Kong,57.15,3
Lithuania,45.0,1
USA,44.16,3
Singapore,40.2,2
Bahrain,39.8,1
Canada,24.96,1
Poland,19.8,1
United Arab Emirates,19.8,1
RSA,16.5,1
Greece,15.0,1
European Community,10.2,1
