StockCode,Description,TotalQuantitySold,TotalRevenue
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2933,534.47
21175,GIN + TONIC DIET METAL SIGN,2042,3493.43
85099B,JUMBO BAG RED RETROSPOT,1209,2228.84
21891,TRADITIONAL WOODEN SKIPPING ROPE,759,901.23
22273,FELTCRAFT DOLL MOLLY,735,1700.25
15036,ASSORTED COLOURS SILK FAN,664,450.78
84212,"ASSORTED FLOWER COLOUR ""LEIS""",481,206.56
22728,ALARM CLOCK BAKELIKE PINK,443,1524.67
84991,60 TEATIME FAIRY CAKE CASES,365,170.25
84879,ASSORTED COLOUR BIRD ORNAMENT,341,549.33
20725,LUNCH BAG RED RETROSPOT,337,526.05
82551,LAUNDRY 15C METAL SIGN,316,532.22
23201,JUMBO BAG ALPHABET,310,562.0
23206,LUNCH BAG APPLE DESIGN,305,519.66
22951,60 CAKE CASES DOLLY GIRL DESIGN,296,133.0
84978,HANGING HEART JAR T-LIGHT HOLDER,294,319.62
21918,SET 12 KIDS COLOUR  CHALK STICKS,290,105.34
21212,PACK OF 72 RETROSPOT CAKE CASES,274,218.29
22662,LUNCH BAG DOLLY GIRL DESIGN,255,385.71
21166,COOK WITH WINE METAL SIGN ,253,499.97
21154,RED RETROSPOT OVEN GLOVE ,248,301.77
22071,SMALL WHITE RETROSPOT MUG IN BOX ,244,122.0
85123A,WHITE HANGING HEART T-LIGHT HOLDER,243,681.29
79164,BLACK WINE GLASS,240,93.6
22197,POPCORN HOLDER,226,172.34
22791,T-LIGHT GLASS FLUTED ANTIQUE,221,271.88
20713,JUMBO BAG OWLS,212,377.51
82583,HOT BATHS METAL SIGN,211,467.24
23048,SET OF 10 LANTERNS FAIRY LIGHT STAR,200,750.0
21977,PACK OF 60 PINK PAISLEY CAKE CASES,198,94.73
22915,ASSORTED BOTTLE TOP  MAGNETS ,180,70.86
20728,LUNCH BAG CARS BLUE,179,351.69
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,175,137.88
20676,RED RETROSPOT BOWL,173,202.22
23344,JUMBO BAG 50'S CHRISTMAS ,173,330.84
23172,REGENCY TEA PLATE PINK,172,256.64
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,171,468.41
21787,RAIN PONCHO RETROSPOT,171,117.33
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,170,443.9
23144,ZINC T-LIGHT HOLDER STARS SMALL,168,123.6
84946,ANTIQUE SILVER TEA GLASS ETCHED,166,295.74
84692,BOX OF 24 COCKTAIL PARASOLS,162,88.29
21174,POTTERING IN THE SHED METAL SIGN,160,311.22
23571,TRADITIONAL NAUGHTS & CROSSES,160,235.2
85152,HAND OVER THE CHOCOLATE   SIGN ,159,298.76
23084,RABBIT NIGHT LIGHT,152,416.23
21931,JUMBO STORAGE BAG SUKI,151,341.34
21394,RED POLKADOT BEAKER ,151,66.33
22659,LUNCH BOX I LOVE LONDON,149,258.69
22141,CHRISTMAS CRAFT TREE TOP ANGEL,148,280.91
22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,146,49.38
22980,PANTRY SCRUBBING BRUSH,146,212.1
84817,DANISH ROSE DECORATIVE PLATE,146,64.68
22610,PENS ASSORTED FUNNY FACE,144,29.52
85230E,STRAWBRY SCENTED VOTIVE CANDLE,144,30.24
21788,KIDS RAIN MAC BLUE,144,93.6
84946,ANTIQUE SILVER T-LIGHT GLASS,140,184.68
22355,CHARLOTTE BAG SUKI DESIGN,138,109.76
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,138,173.34
21668,RED STRIPE CERAMIC DRAWER KNOB,132,146.76
47566,PARTY BUNTING,132,880.26
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,132,41.64
22112,CHOCOLATE HOT WATER BOTTLE,129,731.68
22908,PACK OF 20 NAPKINS RED APPLES,129,97.95
21981,PACK OF 12 WOODLAND TISSUES ,126,44.58
22151,PLACE SETTING WHITE HEART,125,52.5
23167,SMALL CERAMIC TOP STORAGE JAR ,123,91.05
21124,SET/10 BLUE POLKADOT PARTY CANDLES,120,150.0
20668,DISCO BALL CHRISTMAS DECORATION,120,14.4
79321,CHILLI LIGHTS,120,619.91
22666,RECIPE BOX PANTRY YELLOW DESIGN,117,358.83
22082,RIBBON REEL STRIPES DESIGN ,115,189.75
22961,JAM MAKING SET PRINTED,115,227.89
22699,ROSES REGENCY TEACUP AND SAUCER ,114,327.38
16238,PARTY TIME PENCIL ERASERS,114,18.76
21703,BAG 125g SWIRLY MARBLES,112,47.04
22077,6 RIBBONS RUSTIC CHARM,111,246.37
20724,RED RETROSPOT CHARLOTTE BAG,111,147.53
21509,COWBOYS AND INDIANS BIRTHDAY CARD ,110,42.7
22382,LUNCH BAG SPACEBOY DESIGN ,108,183.99
22945,CHRISTMAS METAL TAGS ASSORTED ,108,97.5
21829,DINOSAUR KEYRINGS ASSORTED,108,22.68
21245,GREEN POLKADOT PLATE ,106,156.1
23168,CLASSIC CAFE SUGAR DISPENSER,106,141.5
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,106,284.39
21086,SET/6 RED SPOTTY PAPER CUPS,104,67.6
23681,LUNCH BAG RED VINTAGE DOILY,101,146.65
84050,PINK HEART SHAPE EGG FRYING PAN,101,147.77
22338,STAR DECORATION PAINTED ZINC ,100,22.0
22315,200 RED + WHITE BENDY STRAWS,100,106.76
17038,PORCELAIN BUDAH INCENSE HOLDER,100,10.0
22558,CLOTHES PEGS RETROSPOT PACK 24 ,99,152.5
21930,JUMBO STORAGE BAG SKULLS,97,216.94
22740,POLKADOT PEN,97,83.26
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,96,104.64
22153,ANGEL DECORATION STARS ON DRESS,96,40.32
22336,DOVE DECORATION PAINTED ZINC ,96,18.24
84818,DANISH ROSE PHOTO FRAME,96,80.16
22574,HEART WOODEN CHRISTMAS DECORATION,96,81.6
21385,IVORY HANGING DECORATION  HEART,95,83.87
22423,REGENCY CAKESTAND 3 TIER,94,1295.25
23205,CHARLOTTE BAG VINTAGE ALPHABET ,94,79.9
21790,VINTAGE SNAP CARDS,91,78.91
22966,GINGERBREAD MAN COOKIE CUTTER,91,113.75
23307,SET OF 60 PANTRY DESIGN CAKE CASES ,90,51.6
22944,CHRISTMAS METAL POSTCARD WITH BELLS,90,45.54
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,90,128.18
85036C,ROSE 1 WICK MORRIS BOXED CANDLE,90,45.0
22379,RECYCLING BAG RETROSPOT ,87,190.22
23204,CHARLOTTE BAG APPLES DESIGN,86,76.22
22147,FELTCRAFT BUTTERFLY HEARTS,86,118.54
84660B,BLACK STITCHED WALL CLOCK,86,67.94
21169,YOU'RE CONFUSING ME METAL SIGN ,85,137.01
22892,SET OF SALT AND PEPPER TOADSTOOLS,84,105.0
22906,12 MESSAGE CARDS WITH ENVELOPES,83,124.95
21811,HANGING HEART WITH BELL,82,36.82
23203,JUMBO BAG VINTAGE DOILY ,81,168.48
22139,RETROSPOT TEA SET CERAMIC 11 PC ,81,406.79
21390,FILIGRIS HEART WITH BUTTERFLY,81,108.61
22356,CHARLOTTE BAG PINK POLKADOT,81,75.9
23493,VINTAGE DOILY TRAVEL SEWING KIT,80,156.0
22899,CHILDREN'S APRON DOLLY GIRL ,80,155.5
16216,LETTER SHAPE PENCIL SHARPENER,80,4.8
22630,DOLLY GIRL LUNCH BOX,79,156.74
15056N,EDWARDIAN PARASOL NATURAL,79,423.07
22534,MAGIC DRAWING SLATE SPACEBOY ,79,30.3
22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,78,104.76
21845,DAIRY MAID STRIPE MUG,78,74.58
23242,TREASURE TIN BUFFALO BILL ,76,147.04
21975,PACK OF 60 DINOSAUR CAKE CASES,76,42.5
21976,PACK OF 60 MUSHROOM CAKE CASES,76,41.8
21892,TRADITIONAL WOODEN CATCH CUP GAME ,76,95.0
22161,HEART DECORATION RUSTIC HANGING ,75,31.73
23232,WRAP VINTAGE LEAF DESIGN,75,31.5
22705,WRAP GREEN PEARS ,75,31.5
21498,RED RETROSPOT WRAP ,75,31.5
23230,WRAP ALPHABET DESIGN,75,31.5
23691,WRAP KEEP CALM BIRTHDAY,75,31.5
21167,WHITE SAGE INCENSE,75,15.75
22988,SOLDIERS EGG CUP ,74,95.02
22492,MINI PAINT SET VINTAGE ,74,50.06
22417,PACK OF 60 SPACEBOY CAKE CASES,74,40.7
20712,JUMBO BAG WOODLAND ANIMALS,73,170.65
23208,LUNCH BAG VINTAGE LEAF DESIGN,73,120.45
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,72,149.08
23078,ICE CREAM PEN LIP GLOSS ,72,90.0
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,72,20.88
21870,I CAN ONLY PLEASE ONE PERSON MUG,72,76.32
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,72,90.0
